TRIAL,ARRAY_SIZE,TIME
559,5600,1765
560,5610,1739
561,5620,1749
562,5630,1737
563,5640,1773
564,5650,1729
565,5660,1772
566,5670,1740
567,5680,1760
568,5690,1758
569,5700,1777
570,5710,1756
571,5720,1746
572,5730,1771
573,5740,1753
574,5750,1794
575,5760,1789
576,5770,1780
577,5780,1752
578,5790,1763
579,5800,1765
580,5810,1741
581,5820,1741
582,5830,1793
583,5840,1787
584,5850,1817
585,5860,1794
586,5870,1805
587,5880,1801
588,5890,1773
589,5900,1801
590,5910,1798
591,5920,1823
592,5930,1820
593,5940,1829
594,5950,1791
595,5960,1799
596,5970,1785
597,5980,1756
598,5990,1770
599,6000,1810
600,6010,1859
601,6020,1823
602,6030,1827
603,6040,1823
604,6050,1826
605,6060,1787
606,6070,1851
607,6080,1844
608,6090,1816
609,6100,1875
610,6110,1788
611,6120,1818
612,6130,1860
613,6140,1779
614,6150,1844
615,6160,1860
616,6170,1846
617,6180,1861
618,6190,1868
619,6200,1829
620,6210,1844
621,6220,1842
622,6230,1831
623,6240,1842
624,6250,1858
625,6260,1866
626,6270,1885
627,6280,1822
628,6290,1860
629,6300,1879
630,6310,1856
631,6320,1879
632,6330,1910
633,6340,1828
634,6350,1880
635,6360,1919
636,6370,1926
637,6380,1901
638,6390,1845
639,6400,1901
640,6410,1940
641,6420,1944
642,6430,1935
643,6440,1930
644,6450,1911
645,6460,1926
646,6470,1916
647,6480,1913
648,6490,1906
649,6500,1903
650,6510,1898
651,6520,1921
652,6530,1946
653,6540,1950
654,6550,1974
655,6560,2065
656,6570,2046
657,6580,1931
658,6590,2009
659,6600,1941
